state,ch_stunt,ch_waste,ch_wastesev,ch_uweight,ch_anemic,bmi_f_lowbmiout,hb_f_anemia,preg_anemia,ch_over,bmi_f_highbmi,hypertension_women,diabetes_women,iycf_earlybf35,iycf_exclbf0,n_iycf_introfood,n_iycf_minaccdiet0,take100_IFA_preg,wo2024_mar18,wom_pregmothers_1519,imp_drinkw,imp_latrine,bpl_card,electric,fp_sat,iod_salt,anc_firsttri,anc4,mcp_rec,IFA_rec,protect_tetanus,deworm_preg,anc_weigh,flw_breastcouns,flw_preg_babywarm,flw_preg_cordcouns,icds_thr_preg,icds_hlthnut_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,full_immun1,chvitA_6m1,ch_ironsupp1,ch_deworm1,ari_treat,ch_ors,ch_zinc,icds_weight_child,icds_weightcounse_child,ch_diarr,ari_symp,school10yr_women,ifa_180,hh_healthins
Madhya Pradesh,42,25.76,9.17,42.79,68.92,28.35,52.42,54.6,1.68,13.62,,,34.44,58.2,38.09,6.6,23.53,32.41,7.28,85.24,34.76,,90.88,,93.21,53.04,35.67,92.16,,89.75,,,,,,,,80.75,,78,54.92,,,,53.56,66.19,,,70.85,55.2,26.6,,,9.51,2.14,29.29,31.83,38.05
Maharashtra,34.43,25.55,9.41,35.96,53.83,23.45,47.9,49.27,1.91,23.38,,,57.5,56.62,43.34,6.52,40.56,26.32,8.33,92.54,52.33,,93.47,,96.4,67.63,72.18,90.93,,90.38,,,,,,,,90.28,,91.13,78.51,,,,56.23,73.61,,,84.73,60.53,13.03,,,8.53,2.36,50.44,30.92,19.97
Manipur,28.92,6.83,2.2,13.81,23.89,8.76,26.43,25.97,3.06,25.99,,,65.44,73.6,78.76,18.82,39.18,13.69,7.4,63.93,52.61,,92.76,,99.49,77,69.01,32.82,,88.83,,,,,,,,69.1,,77.16,64.62,,,,65.84,38.95,,,39.12,60.21,14.07,,,5.77,1.7,48.08,30.31,14.15
Meghalaya,43.8,15.3,6.52,28.93,48.01,12.08,56.43,53.25,3.89,12.15,,,60.64,35.78,67.43,23.5,36.21,16.9,8.62,70.32,61.4,,91.8,,99.14,53.27,49.98,93.63,,79.23,,,,,,,,51.38,,53.82,47.47,,,,61.44,57.82,,,74.85,77.37,57.83,,,10.56,5.8,35.13,20.6,63.51
Mizoram,28.08,6.11,2.29,12.03,19.31,8.36,24.72,26.97,4.17,21.04,,,70.32,61.05,68.2,14.46,53.6,10.89,7.19,93.81,84.38,,96.04,,98.98,65.55,61.43,96.6,,82.54,,,,,,,,79.74,,83.6,64.53,,,,50.72,69.42,,,50.11,70.03,28.99,,,7.57,2.16,49.95,10.54,46.4
Nagaland,28.62,11.28,4.15,16.74,26.38,12.25,27.65,32.66,3.79,16.17,,,53.1,44.25,70.74,18.76,4.36,13.36,5.71,82.41,76.7,,96.73,,99.45,24.69,15,73.57,,63.74,,,,,,,,32.79,,41.29,22.3,,,,35.39,30.56,,,31.34,40.26,15.96,,,5.07,1.41,44.41,4.12,20.46
Odisha,34.14,20.35,6.37,34.41,44.58,26.45,51.17,47.58,2.58,16.46,,,68.54,65.56,54.87,8.53,36.48,21.3,7.59,89.14,30,,86.6,,92.95,63.97,61.91,97.22,,94.34,,,,,,,,85.27,,86.45,73.22,,,,78.56,75.61,,,72.93,68.57,17.02,,,9.81,2.43,32.98,34.4,47.94
Puducherry,23.67,23.55,7.77,21.97,44.88,11.32,53.35,26.01,2.17,36.73,,,65.32,45.47,76.77,31.13,66.3,10.69,3.54,99.62,64.77,,99.76,,92.69,80.61,87.68,97.95,,82.12,,,,,,,,99.89,,99.98,84.92,,,,91.25,77.23,,,73.96,71.23,69.64,,,11.32,2.95,65.41,64.88,30.14
Punjab,25.71,15.62,5.55,21.64,56.62,11.71,53.98,42.03,2.34,31.32,,,30.71,52.95,41.07,5.89,42.63,7.64,2.55,99.56,82.73,,99.62,,98.4,75.62,68.45,95.05,,92.87,,,,,,,,90.49,,94.08,87.23,,,,89.05,74.82,,,90.32,66.16,26.7,,,6.57,4.11,56.02,40.53,25.16
Rajasthan,39.11,22.98,8.55,36.72,60.31,26.97,46.84,46.64,2.05,14.06,,,28.44,58.24,30.05,3.43,17.25,35.44,6.34,93.7,46.1,,91.19,,93.45,63.03,38.49,92.31,,89.71,,,,,,,,83.96,,86.55,63.73,,,,54.82,44.02,,,82.59,56.16,17.5,,,7.36,2.06,33.44,14.36,87.84
Sikkim,29.57,14.18,5.91,14.22,55.06,6.39,35.19,23.58,8.57,26.68,,,66.49,54.6,61.8,23.12,52.81,14.95,2.8,97.78,89.67,,99.36,,99.63,76.22,74.66,99.06,,97.2,,,,,,,,94.71,,97.09,74.17,,,,83.01,86.68,,,63.77,,,,,1.83,0.3,49.01,31.48,25.69
Tamil Nadu,27.14,19.69,7.85,23.76,50.65,14.64,55.4,44.43,4.95,30.89,,,54.74,48.26,67.49,30.68,63.97,16.26,4.98,97.69,52.45,,99.04,,82.75,63.97,81.14,95.96,,70.99,,,,,,,,98.91,,99.22,74.03,,,,69.69,72.96,,,82.15,61.77,41.34,,,7.96,2.8,56.57,63.05,66.48
Telangana,28,18.05,4.76,28.35,60.73,22.87,56.91,48.15,0.73,28.63,,,36.9,67.01,57.49,10.12,52.67,26.17,10.55,97.67,52.26,,98.88,,95.76,83.05,74.89,89.12,,88.82,,,,,,,,91.47,,91.32,81.71,,,,67.52,81.29,,,76.28,56.77,31.55,,,8.19,2.01,45.5,34.4,60.75
Tripura,24.33,16.82,6.31,24.11,48.32,18.94,54.51,54.44,2.96,16.01,,,44.39,70.71,13.63,5.91,13.41,33.06,18.78,86.44,63.74,,92.79,,99.1,66.38,64.32,82.95,,93.03,,,,,,,,79.89,,80.93,62.07,,,,54.47,66.53,,,72.97,46.27,19.05,,,4.87,2.63,23.23,8.86,33.01
Uttar Pradesh,46.25,17.88,5.99,39.47,63.15,25.29,52.52,50.96,1.49,16.48,,,25.18,41.64,32.63,5.3,12.9,21.13,3.8,98.41,36.39,,72.58,,93.7,45.88,26.39,79.75,,86.54,,,,,,,,67.83,,70.35,54.03,,,,51.07,43.81,,,71.31,37.92,12.57,,,14.96,4.65,39.27,9.69,15.87
Uttarakhand,33.5,19.49,8.98,26.58,59.81,18.38,45.12,46.47,3.49,20.44,,,27.81,51.18,46.65,8.51,24.87,13.81,2.82,93.6,66.2,,97.81,,95.33,53.52,30.91,93.42,,91.42,,,,,,,,68.63,,71.22,54.79,,,,57.6,40.18,,,78.96,56.04,30.3,,,16.98,4.63,50.36,25.04,62.49
West Bengal,32.51,20.28,6.5,31.55,54.19,21.27,62.82,53.57,2.07,19.86,,,47.44,52.26,51.95,19.57,28.03,41.58,18.3,97.16,52.82,,94.3,,94.65,54.87,76.44,97.41,,95.41,,,,,,,,75.17,,81.62,61.05,,,,84.44,74.96,,,73.47,64.71,20.79,,,5.87,3.32,32.94,30.78,29.33
