v1,state,state_code,district,district_code,sex_ratio,wom_pop1549_2019,pw_registered_anc,live_births,ch_pop04_2019,insbirth,ch_lbw,lbw_n,ch_stunt,stunting_n,ch_waste,wasting_n,ch_wastesev,severewasting_n,ch_uweight,underweight_n,ch_over,overweight_n,ch_anemic,anemia_ch_n,v26,bmi_f_lowbmiout,womenunderweight_n,bmi_f_highbmi,womenover_n,hypertension_women,womenhypertension_n,diabetes_women,womendiabetes_n,hb_f_anemia,anemia_nonpreg_n,preg_anemia,anemia_preg_n,pregwom_2019,v40,take100_ifa_preg,ifa_180,iycf_earlybf35,iycf_exclbf0,n_iycf_cbf,n_iycf_introfood,n_iycf_minaccdiet0,n_iycf_mindd,n_iycf_minfreq,n_iycf_eff,n_iycf_swbvg,bottle,school10yr_women,wo2024_mar18,wom_pregmothers_1519,imp_latrine,imp_drinkw,safe_disp,bpl_card,hh_healthins,fp_sat,iod_salt,mcp_rec,anc_firsttri,anc4,anc_weigh,counsel_birth_prepare,flw_breastcouns,protect_tetanus,ifa_rec,deworm_preg,icds_thr_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,icds_hlthcheck_lact,full_immun1,chvita_6m1,ch_ironsupp1,ch_deworm1,icds_thr6_35_child,icds_weight_child,icds_weightcounse_child,ch_ors,ch_zinc,ari_treat,icds_preschool_child,icds_hlthcheck_child
23,Chhattisgarh,22,Baloda Bazar,676,1070.09,,30694,23354,,23284,,,40.85,,19.36,,9.41,,34.11,,7.32,,67.77,,,19.44,,14.71,,22.63,,7.1,,61.46,,56.15,17235,30694,,21.62,12.56,35.44,73.27,,,11.5,,,,,,38.71,11.4,2.68,78.84999999999999,94.79000000000001,,,66.05,,97.86,98.56999999999999,59.28,49.47,,,,86.52,88,25.3,,78.14,45.4,86.17,72.64,69.70999999999999,,,,77.31999999999999,77.13,,,,,,,,70.28,,
24,Chhattisgarh,22,Balrampur,677,979.66,,24000,16776,,,,,35.14,,22.98,,7.93,,38.84,,1.61,,50.08,,,28.74,,9.94,,25.2,,7.94,,63.24,,65.45999999999999,15710,24000,,55.03,34.23,38.27,85.19,,46.56,13.35,,,,,,32.16,24.6,9.07,57.34,84.44,,,62.27,,99.53,88.52,76.39,52.09,,,,89.39,92.59999999999999,60.7,,78.89,53.5,89.23999999999999,78.59,72.73999999999999,,,,76.11,83.2,,,,,,,,,,
25,Chhattisgarh,22,Bastar,414,1068.01,435531.5958,20196,18426,172625.5242,18383,,,48.09,83016,20.37,35164,9.07,15657,45.22,78061,5.17,8925,80.70999999999999,125157,172625.5242,34.89,151957,8.73,38022,23.66,103047,9.02,39285,77.13,335926,78.95999999999999,15947,20196,435531.5958,31.1,18.18,42.03,70.58,,,10.64,,,,,,25.32,17.29,5.96,60.99,94.09,,,69.28,,97.12,92.36,57.25,55.07,,,,94.81,92.7,42.9,,63.54,43.2,72.63,69.19,64.56,,,,57.33,87.44,,,,,,73.92,35.66,52.84,,
26,Chhattisgarh,22,Bemetara,678,972.49,,17080,12195,,12077,,,38.35,,16.37,,3.9,,27.62,,4.07,,61.82,,,20.97,,14.86,,26.86,,8.359999999999999,,46.94,,49.15,8395,17080,,54.56,34.79,27.35,65.64,,,14.7,,,,,,32.99,15.12,4.9,80.48,98.81999999999999,,,63.38,,97.75,99.70999999999999,77.42,54.61,,,,89.04000000000001,96,55.8,,94.98,48.3,93.91,91.52,91.94,,,,93.43000000000001,88.98,,,,,,,,,,
27,Chhattisgarh,22,Bilaspur,406,1033.14,778586.3395999999,65633,47578,330646.0197,47016,,,25.73,85075,24.02,79421,10.93,36140,28,92581,4.4,14548,78.14,232092,330646.0197,27.18,211620,17.07,132905,24.44,190287,9.98,77703,59.29,461624,41.37,27152,65633,778586.3395999999,29.99,9.199999999999999,33.55,,,,15.21,,,,,,37.38,11.19,5.2,80.47,93.62,,,60.37,,98.61,92.91,52.45,46.87,,,,84.64,89.5,25.4,,79.44,31.8,85.64,75.73999999999999,78.58,,,,52.5,62.72,,,,,,,,72.09,,
28,Chhattisgarh,22,Dantewada,416,1098.42,169647.9395,8315,6070,60301.62984,5663,,,45.61,27504,19.35,11668,9.57,5771,45.84,27642,9.82,5922,89.87,48682,60301.62984,25.89,43922,6.75,11451,19.11,32420,8.07,13691,76.73,130171,62.99,5238,8315,169647.9395,27.47,12.63,34.47,86.13,,,19.62,,,,,,24.2,16.31,6.65,60.48,95.14,,,82.2,,98.26000000000001,98.70999999999999,65.34,68.2,,,,96.63,90.2,56.8,,90.45,68.8,88.67,84.92,84.94,,,,77.59999999999999,91.79000000000001,,,,,,,,,,
29,Chhattisgarh,22,Durg,409,956.54,1049349.358,36917,29259,352143.7277,,,,38.87,136878,16.9,59512,10.05,35390,27.74,97685,3.02,10635,57.06,180499,352143.7277,12.5,131169,23.87,250480,22.59,237048,11.16,117107,51.97,545347,41.19,15206,36917,1049349.358,46.5,28.73,18.52,,,,8.34,,,,,,52.69,4.33,.64,89.47,98.45999999999999,,,67.01000000000001,,97.95,99.42,71.08,69.84999999999999,,,,95.97,97.59999999999999,57.3,,96.70999999999999,43.2,97.98999999999999,94.23,92.47,,,,82.67,82.31999999999999,,,,,,,,,,
30,Chhattisgarh,22,Gariyaband,679,1048.17,,14429,8655,,8217,,,28.94,,21.92,,10.59,,22.09,,13.46,,73.91,,,20.01,,9.09,,22.58,,7.36,,65.04000000000001,,55.31,7981,14429,,39.85,26.09,31.16,93.75,,,9.359999999999999,,,,,,27.77,9.74,3.62,80.98,96.81999999999999,,,79.81999999999999,,99.22,98.33,57.99,57.84,,,,90.7,93.09999999999999,48.5,,87.56,45.1,84.93000000000001,86.34,82.34,,,,83.44,81.59999999999999,,,,,,,,40.09,,
31,Chhattisgarh,22,Kodagaon,680,1032.98,,14082,10508,,,,,37.59,,22.83,,8.75,,42.15,,5.48,,76.61,,,31.26,,6.08,,21.23,,7.61,,79.52,,87.59,12334,14082,,39.46,17.25,35.58,85.29000000000001,,,9.31,,,,,,24.67,11.75,3.03,79.52,98.77,,,80.58,,98.98,97.56,69.37,64.05,,,,95.38,95.90000000000001,59.6,,78.72,67.8,83.65000000000001,79.44,77.34,,,,70.13,84.73,,,,,,88.78,63,61.56,,
32,Chhattisgarh,22,Mungeli,681,1021.73,,25409,14314,,13907,,,30.14,,17.69,,5.01,,30.63,,2.06,,61.95,,,20.91,,17.52,,26.18,,11.42,,54.63,,50.28,12776,25409,,60.3,38.77,37.6,94,,,2.96,,,,,,32.16,20.48,3.06,80.68000000000001,97.95,,,67.98,,97.2,94.02,73.25,67.31999999999999,,,,94.66,92.8,56.4,,69.81,55.2,83.16,74.44,66.55,,,,79.7,87.69,,,,,,,,,,
33,Chhattisgarh,22,Raipur,410,982.79,1250733.945,59613,42195,478372.904,,,,32.22,154132,21.71,103855,10.25,49033,32.33,154658,5.57,26645,74.63,320704,478372.904,14.43,180481,15.7,196365,17.67,221005,9.199999999999999,115068,59.83,748314,37.14,22140,59613,1250733.945,46.13,25.59,36.38,71.86,,,7.93,,,,,,40.1,8.789999999999999,3.31,83.95,99.73,,,76.92,,99.38,100,82.42,65.59999999999999,,,,94.66,96.2,43.9,,90.70999999999999,37.6,95.8,88.38,86.7,,,,74.15000000000001,88.44,,,,,,,,,,
34,Chhattisgarh,22,Sukma,682,1078.19,,8067,5096,,4845,,,41.78,,21.15,,9.859999999999999,,37.39,,6.47,,91.40000000000001,,,34.51,,3.77,,14.47,,6,,79.02,,65.77,5306,8067,,27.64,19.82,38.01,85.76000000000001,,,20.88,,,,,,15.87,18.88,2.7,35.53,95.95999999999999,,,78.11,,99.02,98.42,58.94,73.98999999999999,,,,96.31,83.5,62.5,,81.22,69.09999999999999,84.8,80.61,79.84999999999999,,,,73.33,80.40000000000001,,,,,,,,57.12,,
35,Chhattisgarh,22,Surajpur,683,949.97,,23173,13389,,13257,,,27.58,,19.26,,5.79,,32.28,,.44,,51.08,,,29.46,,14.68,,24.97,,9.93,,60.96,,55.43,12845,23173,,56.33,33.78,23.32,85.17,,,11.35,,,,,,30.68,34.28,4.5,75.40000000000001,83.34999999999999,,,75.67,,99.33,92.17,55.32,48.85,,,,89.56999999999999,93.59999999999999,52.1,,85.87,43.3,79.94,82.97,81.22,,,,78.73,93.84,,,,,,,,,,
36,Chhattisgarh,22,Surguja,401,1035.96,672684.3105,29355,21889,300226.2505,,,,29.41,88297,17.5,52540,7.63,22907,30.55,91719,1.32,3963,51.35,138488,300226.2505,26.84,180548,15.25,102584,28.51,191782,8.970000000000001,60340,58.82,395673,46.4,13621,29355,672684.3105,54.49,38.23,32.29,87.2,,,9.94,,,,,,37.73,18.07,6.41,75.76000000000001,96.39,,,65.14,,99.34999999999999,97.65000000000001,70.34999999999999,57.71,,,,95.40000000000001,96.40000000000001,58.6,,85.34,57.3,89.42,83.39,79.14,,,,84.55,86.26000000000001,,,,,,,,,,
37,Delhi,7,Central,95,901.12,222302.6102,97375,41535,48238.02365,40853,,,33.46,16140,13.52,6522,7.02,3386,25.5,12301,4.09,1973,70.34,30480,48238.02365,10.38,23075,44.76,99503,26.53,58977,11.7,26009,45.11,100281,,,97375,222302.6102,62.15,43.33,47.64,,,,18.2,,,,,,57.05,11.18,4.02,76.98999999999999,99.65000000000001,,,22.61,,96.81999999999999,94.02,70.38,73.06,,,,88.33,95.8,12.8,,92.2,7.1,90.87,84.90000000000001,90.06,,,,82.05,48.76,,,,,,,,76.31999999999999,,
38,Delhi,7,East,93,885.18,650361.8369,42487,13877,148232.2323,13319,,,35.21,52193,15.73,23317,4.33,6418,29.91,44336,6.06,8983,65.94,87804,148232.2323,11.89,77328,41.25,268274,25.78,167663,11.72,76222,42.6,277054,37.23,15818,42487,650361.8369,76.73,53.94,60.31,54.16,,,23.02,,,,,,57.23,12.84,1.26,78.01000000000001,98.36,,,30.67,,98.09999999999999,96.55,85.70999999999999,89.66,,,,97.06,94.3,41,,92.56999999999999,13.7,94.92,89.97,88.39,,,,74.61,58.72,,,,,,85.73,48.33,75.22,,
39,Delhi,7,New Delhi,94,858.68,54960.91193,80983,45330,9505.110911,,,,27.35,2600,6.84,650,2.88,274,20.66,1964,3.65,347,72.84999999999999,6220,9505.110911,12.77,7019,41.76,22952,25.79,14174,12.04,6617,56.1,30833,,,80983,54960.91193,69.72,51.73,48.55,71.56,,,15.64,,,,,,57.87,10.21,5.18,69.44,99.11,,,25.18,,98.14,96.75,83.2,80.06,,,,93.79000000000001,95.09999999999999,33.1,,91.76000000000001,5.9,92.81,86.38,85.61,,,,82.17,55.42,,,,,,,,82.29000000000001,,
40,Delhi,7,North,91,904.99,336191.8358,43538,10931,78034.69614,8355,,,24.95,19470,8.85,6906,3.82,2981,17.43,13601,2.94,2294,67.48,47303,78034.69614,9.24,31064,41.83,140629,21.28,71542,10.63,35737,47.12,158414,48.42,21081,43538,336191.8358,55.69,41.71,46.88,69.78,,,16.79,,,,,,53.87,17,8.15,70.19,99.26000000000001,,,18.05,,93.76000000000001,85.62,55.02,50.64,,,,87.37,93,28.3,,89.73999999999999,9.800000000000001,91.31,68.91,73.41,,,,66.23,47.32,,,,,,52.92,21.17,69.51000000000001,,
41,Delhi,7,North East,92,906.45,835892.9701,53984,8431,228722.4614,6831,,,38.69,88493,8.800000000000001,20128,3.83,8760,21.8,49861,6.24,14272,62.54,128496,228722.4614,9.57,79995,43.33,362192,27.16,227029,12.94,108165,46.06,385012,39.37,21254,53984,835892.9701,78.09999999999999,55.77,50.3,74.8,,,29.54,,,,,,59.8,4.99,1.61,89.52,98.2,,,19.36,,96.26000000000001,94.31999999999999,81.62,86.19,,,,95.48999999999999,95.40000000000001,34.2,,89.19,7.7,89.8,82.62,85.93000000000001,,,,86.40000000000001,42.75,,,,,,61.21,46.44,69.89,,
42,Delhi,7,North West,90,903.92,1353233.889,65189,44992,339570.5015,44536,,,26.87,91243,10.91,37047,5.9,20035,22.76,77286,3.23,10968,73.62,224569,339570.5015,9.029999999999999,122197,43.16,584056,24.09,325994,14.37,194460,51.72,699893,40.61,26473,65189,1353233.889,65.59999999999999,48.26,48.35,51.58,,,10.16,,,,,,62.91,10.13,3.65,88.22,99.66,,,28.21,,97.63,97.87,84.84,77.93000000000001,,,,94.03,91.8,26.3,,93.97,14.5,95.45999999999999,86.11,85.06999999999999,,,,78.28,54.43,,,,,,64.63,45.11,79.18000000000001,,
43,Delhi,7,Shahdara,644,934.62,,101011,41751,,41308,,,32.91,,21.17,,11.53,,30.17,,3.7,,71.39,,,10.96,,42.83,,26.12,,12.27,,49.44,,,,101011,,67.8,37.5,50.04,64.93000000000001,,,8.25,,,,,,58.37,7.26,3.6,83.37,99.81,,,21.53,,96.34999999999999,93.63,80.84,88.91,,,,95.95999999999999,94.3,35.9,,95.8,4.9,97.19,91.5,92.34,,,,82.51000000000001,67.77,,,,,,,,69.73999999999999,,
44,Delhi,7,South,98,921.78,1025609.161,40630,13418,250017.0027,12441,,,33.37,83431,9.4,23502,1.71,4275,18.94,47353,7.06,17651,65.36,146793,250017.0027,10.08,103381,40.03,410551,22.34,229121,12.13,124406,46.31,474960,,,40630,1025609.161,70.8,49.19,46.62,70.86,,,17.83,,,,,,61.64,6.58,1.46,89.45999999999999,100,,,28.68,,98.64,96.63,82.7,85.56999999999999,,,,97.79000000000001,96.09999999999999,19.8,,81.97,10.5,90,82.88,81.34,,,,86.15000000000001,37.82,,,,,,,,,,
45,Delhi,7,South East,645,948.71,,71898,15401,,14301,,,21.68,,14.68,,7.08,,20.4,,4.62,,72.73999999999999,,,7.67,,32.95,,23.71,,9.859999999999999,,48.27,,35.05,25200,71898,,78.79000000000001,53.04,70.06,,,,17.01,,,,,,65.5,7.54,2.61,83.76000000000001,100,,,24.45,,96.77,96.23999999999999,84.23,83.23999999999999,,,,96,89.90000000000001,44.6,,96.14,6.6,97.8,92.25,91.95,,,,64.64,74.14,,,,,,89.8,67.14,71.29000000000001,,
46,Delhi,7,South West,97,881.27,866181.6026,55828,18453,204691.8179,17825,,,27.11,55492,10.64,21779,3.39,6939,16.82,34429,4.7,9621,70.06999999999999,128842,204691.8179,9.02,78130,42.92,371765,19.47,168646,12.61,109226,56.68,490952,44.17,24659,55828,866181.6026,74.76000000000001,54.9,51.77,,,,15.18,,,,,,68.44,7.54,4.71,86.15000000000001,99.72,,,37.72,,96.81999999999999,96.2,83.83,90.97,,,,94.67,94.09999999999999,35,,92.51000000000001,7.3,92.98,92.42,88.31,,,,77.28,58.1,,,,,,,,72.7,,
47,Delhi,7,West,96,952.62,944415.1828,146586,31850,218666.1535,30717,,,36.12,78982,8.35,18259,3.48,7610,18.98,41503,2.1,4592,68.45999999999999,134475,218666.1535,10.53,99447,40.6,383433,23.78,224582,12.91,121924,57.4,542094,49.19,72106,146586,944415.1828,67.45,49.23,47.84,,,,12.94,,,,,,56.31,10.49,1.21,76.81999999999999,99.78,,,20.96,,96.34,90.48,65.31,67.06,,,,91.7,93.2,25.3,,91.75,6.4,93.92,86.92,91.34999999999999,,,,67.52,47.56,,,,,,62.79,14.75,82.2,,
48,Gujarat,24,Ahmadabad,474,928.43,2440611.617,160637,147899,654143.7399,,,,35.45,232221,17.54,114475,7.4,48407,33.97,222409,4.57,29894,72.01000000000001,423087,654143.7399,19.37,473479,30.12,735112,18.51,451757,20.33,496176,63.49,1549788,70.12,112607,160637,2440611.617,69.04000000000001,54.27,33.9,,,,2.98,,,,,,42.65,17.51,4.38,86.38,98.73,,,36.23,,98.68000000000001,98.65000000000001,73.51000000000001,77.76000000000001,,,,85.91,92.8,36.4,,94.45,14.1,95.29000000000001,89.97,86.44,,,,65.23,85.08,,,,,,,,,,
49,Gujarat,24,Aravali,685,996.23,,23331,21422,,21128,,,47.08,,29.03,,9.26,,47.24,,3.28,,89.54000000000001,,,34.41,,18.05,,20.96,,12.39,,77.11,,82.59,19271,23331,,55.96,41.37,33.02,51.03,,,9.43,,,,,,34.67,26.96,6.65,56.32,98.45,,,43.89,,93.45999999999999,95.77,62.63,73.84,,,,89.65000000000001,90.8,45.9,,92.18000000000001,17.2,93.02,87.58,85.13,,,,76.98999999999999,84.58,,,,,,56.65,28.54,69.43000000000001,,
50,Gujarat,24,Bhavnagar,481,941.9,923557.5814,49896,45564,294614.2716,43631,,,32.63,96044,29.61,87206,6.33,18561,39.53,116373,1.77,5215,71.54000000000001,189227,294614.2716,20.81,192100,29.35,271064,20.08,185450,16.44,151833,49.09,453467,56.17,28042,49896,923557.5814,45.21,28.61,33.87,,,,11.22,,,,,,26.25,17.96,1.49,72.87,95.09,,,32.17,,87.23,94.78,76.64,70.90000000000001,,,,90.53,81.90000000000001,36.8,,94.18000000000001,5.3,95.97,87.04000000000001,90.43000000000001,,,,74.27,83.11,,,,,,65.38,35.1,61.54,,
51,Gujarat,24,Botad,686,974.8,,15239,13804,,13722,,,32.17,,26,,9.6,,32.33,,5.76,,75.53,,,19.64,,27.34,,12.52,,16.72,,59.14,,48.5,7391,15239,,54.63,36.71,35.88,,,,8.119999999999999,,,,,,22,12.96,2.22,71.95999999999999,99.23,,,37.97,,98.65000000000001,98.23999999999999,82.29000000000001,82.70999999999999,,,,82.34,81.8,30.6,,93.45,14.6,74.52,85.43000000000001,86.94,,,,65.06999999999999,73.97,,,,,,,,,,
52,Gujarat,24,Chhota Udaipur,687,1015.86,,26691,18408,,17631,,,48.59,,28.37,,13.84,,48.09,,4.84,,87.66,,,30.87,,7.57,,19.37,,10.42,,79.13,,72.06,19244,26691,,59.37,45.45,24.39,58.67,,,2.38,,,,,,20.25,27.52,4.33,52.95,97.40000000000001,,,39.95,,94.26000000000001,99.59999999999999,81.86,81.22,,,,94.45,92.2,49.2,,85.72,29.3,88.34,91.14,87.41,,,,81.69,95.98999999999999,,,,,,67.77,41.89,68.06,,
53,Gujarat,24,Devbhumi Dwarka,688,1010.24,,14559,12500,,12415,,,30.23,,26.07,,17.19,,36.23,,4.85,,66.65000000000001,,,22.35,,24.06,,18.13,,13.5,,48.75,,49.08,7148,14559,,29.07,12.18,55.83,67.26000000000001,,,5.84,,,,,,15.76,11.63,3.8,73.37,93.91,,,33.54,,97.51000000000001,98.34,84.05,76.56,,,,90.26000000000001,91.40000000000001,51.6,,94.8,15.6,91.7,90.09999999999999,88.25,,,,73.31,77.27,,,,,,69.36,22.95,72.06999999999999,,
54,Gujarat,24,Gir Somnath,689,980.6,,24643,20910,,,,,44.43,,18.53,,4.87,,30.33,,4.97,,68.92,,,24.75,,17.31,,14.03,,13.2,,49.64,,57.7,14219,24643,,53.48,35.36,37.64,75.56999999999999,,,14.6,,,,,,30.75,9.890000000000001,.9399999999999999,74.27,98.2,,,46.63,,87.55,95.63,79.19,80.69,,,,89.31999999999999,81.40000000000001,46.3,,87.12,7.5,91.81999999999999,90.84,87.65000000000001,,,,69.86,90.62,,,,,,58.01,34.97,87.09,,
55,Gujarat,24,Jamnagar,477,1003.88,708386.6806,31986,19379,202234.357,18948,,,28.35,57435,23.8,48132,12.54,25279,28.86,58446,3.61,7301,74.98999999999999,136251,202234.357,17.26,122551,29.54,209257,18.07,128005,15.29,108312,50.57,358444,,,31986,708386.6806,52.47,32.92,44.56,73.97,,,10.73,,,,,,35.26,6.81,1.02,86.59999999999999,99.73999999999999,,,38.6,,99.20999999999999,99.53,91.69,73.78,,,,94.97,83.5,48.5,,96.48999999999999,10.9,96.22,92.43000000000001,86.37,,,,78.40000000000001,91.51000000000001,,,,,,,,,,
56,Gujarat,24,Junagadh,479,999.37,909796.7742,22006,21325,236924.3011,,,,37.28,88373,17.32,40988,7.08,16822,26.43,62548,4.37,10354,74.72,158984,236924.3011,18.71,170132,33.37,303599,23.25,211528,18.54,168676,58.82,534961,57.26,12609,22006,909796.7742,39.59,28.01,32.5,,,,5.15,,,,,,34.96,11.23,4.95,81.68000000000001,97.04000000000001,,,47.25,,97.41,100,81.95999999999999,72.54000000000001,,,,88.17,81.40000000000001,34.5,,97.42,20.5,97.73999999999999,84.05,82.81999999999999,,,,93.47,87.94,,,,,,,,,,
57,Gujarat,24,Kheda,483,934.29,737203.0946,51954,41952,228514.2486,,,,37.26,85236,30.88,70611,12.13,27650,39.49,90263,2.51,5736,85.08,174689,228514.2486,32.24,237379,17.76,130927,24.03,177150,16.04,118247,76.20999999999999,561749,72.94,37874,51954,737203.0946,42.44,26.98,25.8,47.4,,,1.24,,,,,,24.19,49.17,10.43,63.34,97.69,,,32.2,,89.79000000000001,98.06999999999999,63.98,61.2,,,,83.2,80.2,41.2,,95.18000000000001,13.8,88.41,85.06999999999999,83.19,,,,68.98999999999999,78.09,,,,,,40.88,32.58,60.02,,
58,Gujarat,24,Mahisagar,690,992.53,,25333,24397,,,,,43.43,,26.2,,11.97,,48.98,,2.64,,85.86,,,30.69,,9.43,,16.25,,12.26,,73.15000000000001,,56.5,14313,25333,,63.25,45.72,21.52,64.38,,,3.04,,,,,,33.91,30.66,6.09,44.42,94.79000000000001,,,46,,96.56999999999999,97.34999999999999,77.20999999999999,76.63,,,,89.41,90.2,50.6,,92.98,28.3,92.69,90.90000000000001,91.12,,,,79.98,86.81,,,,,,87.64,46.71,71.04000000000001,,
59,Gujarat,24,Morbi,700,980.52,,22960,20581,,20449,,,32.91,,25.21,,12.51,,32.34,,3.99,,75.33,,,21.18,,24.61,,18.35,,17.77,,50.7,,50.11,11503,22960,,55.83,43.02,47.06,75.06999999999999,,,10.16,,,,,,35.38,8.890000000000001,3.38,80.08,98.33,,,34.41,,98.11,96.67,89.83,75.11,,,,89.95,86.2,41.9,,94.78,7.4,96.39,89.92,87.78,,,,64.17,82.56999999999999,,,,,,,,,,
60,Gujarat,24,Panch Mahals,484,969.16,735902.0999,44845,34737,285540.9378,,,,47.12,134490,35.71,101938,19.65,56252,51.85,148196,3.36,9594,90.95,233418,285540.9378,33.05,243584,16.07,118259,22.46,165284,13.81,101628,69.48999999999999,511452,73.95,33185,44845,735902.0999,64.20999999999999,42.18,40.16,58.87,,,3.04,,,,,,28.41,34.07,10.45,58.93,90.95,,,33.95,,95.42,96.55,73.95999999999999,88.73,,,,92.19,95.40000000000001,58,,88.41,9.4,84.2,87.97,89.22,,,,95.44,87.64,,,,,,67.84999999999999,43.9,76.11,,
61,Gujarat,24,Rajkot,476,974.72,1277387.263,65912,62231,340517.9881,,,,38.94,132461,17.55,59931,7.29,24858,37.01,125992,8.119999999999999,27650,76.98999999999999,235535,340517.9881,19.53,249091,27.97,357285,17.75,226736,16.56,211535,60.63,774097,,,65912,1277387.263,60.61,41.97,45.24,,,,14.19,,,,,,42.59,12.11,1.76,85.44,99.5,,,45.13,,98.59,98.20999999999999,93.95999999999999,93.52,,,,94.83,82.40000000000001,52.4,,99.28,5.7,100,98.05,98.26000000000001,,,,84.87,84.23999999999999,,,,,,,,,,
62,Gujarat,24,Sabar Kantha,472,986.84,767778.9491,34146,31310,274600.672,30982,,,37.01,101602,33.08,90893,16.59,45584,41,112586,4.9,13455,81.12,200054,274600.672,26.57,204229,15.48,118852,24,184267,13.72,105339,67.94,521322,49.4,16868,34146,767778.9491,52.19,24.58,37.06,71.56,,,5.09,,,,,,31.1,26.96,6.11,60.97,90.72,,,49.32,,94.55,99.11,70.09999999999999,73.23999999999999,,,,90.66,92,60.2,,89.43000000000001,11.6,83.03,86.93000000000001,83.91,,,,88.47,87.56,,,,,,66.25,31.31,75.90000000000001,,
63,Gujarat,24,Surendranagar,475,957.42,551947.6385999999,32858,28321,184884.9557,,,,39.16,72475,27.14,50104,8.77,16270,41.78,77282,5.24,9688,81.01000000000001,134527,184884.9557,24.09,133019,20.73,114419,17.11,94438,16.37,90354,55.42,305779,60.83,19978,32858,551947.6385999999,39.59,25.37,30.02,67.54000000000001,,,.85,,,,,,23.28,19.52,6.3,63.75,96.88,,,50.44,,97.55,98.56999999999999,84.01000000000001,57.45,,,,90.68000000000001,79.09999999999999,40.8,,85.58,11.6,83.59,78.36,73.34999999999999,,,,62.52,79.42,,,,,,63.5,22.19,79.77,,
64,Gujarat,24,Vadodara,486,953.34,1368105.007,65576,49220,388605.3286,48761,,,42.26,164380,20.06,78110,5.15,20207,39.85,155054,6.43,24987,86.43000000000001,301610,388605.3286,20.86,285934,27.63,378007,24.26,331902,16.61,227242,72.56,993244,65.87,43215,65576,1368105.007,53.14,41.31,44.63,,,,5.06,,,,,,46.41,22.77,10.31,85.62,99.48999999999999,,,41.66,,94.56999999999999,96.59,80.44,65.92,,,,93.06999999999999,84.5,37.7,,95.92,8.1,95.19,90.68000000000001,88.66,,,,84.93000000000001,91.62,,,,,,52.48,22.38,72.97,,
65,Haryana,6,Bhiwani,81,984.9400000000001,541903.5673,19177,19834,160538.9713,19730,,,29,46556,6.03,9680,1.9,3050,20.64,33135,.99,1589,69.20999999999999,99810,160538.9713,19.53,105834,28.06,152058,18.69,101282,10.2,55274,66.8,361992,54.12,10379,19177,541903.5673,53.3,30.29,48.89,73.14,,,8.44,,,,,,47.02,15.03,3.36,89.67,97.51000000000001,,,28.24,,94.52,93.29000000000001,89.03,60.36,,,,92.69,89.8,46.1,,97.7,4.9,97.81999999999999,91.48,91.17,,,,72.51000000000001,63.62,,,,,,,,,,
66,Haryana,6,Charkhi Dadri,643,963.6,,9881,5194,,,,,23.91,,10.64,,2.58,,16.87,,1.76,,67.20999999999999,,,16.96,,28.75,,20.61,,10.33,,73.06999999999999,,62.4,6166,9881,,48.9,30.91,55.27,62.98,,,11.51,,,,,,54.45,11.8,3.13,90.40000000000001,97.31999999999999,,,29.71,,95.45,95.31,82.63,53.44,,,,87.70999999999999,95.7,47.9,,98.94,10.6,99.68000000000001,93.88,91.86,,,,84.16,68.26000000000001,,,,,,,,,,
67,Madhya Pradesh,23,Agar Malwa,684,918.73,,13774,9707,,,,,40.26,,18.7,,5.71,,35.67,,0,,71.64,,,26.72,,8.81,,21.2,,19.49,,59.45,,,,13774,,54.78,44.64,55.58,,,,.01,,,,,,19.29,35.56,5.28,72.29000000000001,81.43000000000001,,,58.88,,99.84999999999999,98.58,70.05,76.53,,,,97.09,85.59999999999999,38.8,,98.88,63.9,93.59,89.94,92.92,,,,75.76000000000001,91.95999999999999,,,,,,,,,,
68,Madhya Pradesh,23,Shajapur,436,957.18,458502.8182,20197,14181,180246.3484,,,,27.82,50145,23.4,42178,9.69,17466,27.61,49766,2.47,4452,76.06999999999999,123170,180246.3484,23.08,105822,16.02,73452,23.32,106923,7.03,32233,45.89,210407,44.47,8982,20197,458502.8182,48.69,29.84,43.43,79.45999999999999,,,8.19,,,,,,19.61,24.43,5.91,74.51000000000001,91.75,,,34.33,,97.23,97.92,85.79000000000001,64.68000000000001,,,,96.33,92.8,25.2,,98.14,52.7,95.37,85.63,88.23999999999999,,,,89.98,72.97,,,,,,,,77.16,,
69,Maharashtra,27,Palghar,701,963.15,,64190,54497,,54360,,,32.97,,23.93,,10.47,,37.11,,9.32,,70.31,,,27.85,,17,,23.35,,12.24,,57.17,,48.54,31132,64190,,65.3,44.26,60.13,,,,5.21,,,,,,48.28,14.61,4.67,75.05,91.09,,,18.82,,86.52,92.88,84.68000000000001,86.31999999999999,,,,94.43000000000001,86.3,11.8,,94.18000000000001,18.5,95.66,96.97,96.47,,,,93.98999999999999,72.69,,,,,,,,70.93000000000001,,
