#,state,state_code,district,district_code,sex_ratio,wom_pop1549_2019,pw_registered_anc,live_births,ch_pop04_2019,insbirth,ch_stunt,Stunting_N,ch_waste,Wasting_N,ch_wastesev,SevereWasting_N,ch_uweight,Underweight_N,ch_over,Overweight_N,ch_anemic,Anemia_ch_N,ch_pop04_2019,bmi_f_lowbmiout,WomenUnderweight_N,bmi_f_highbmi,WomenOver_N,hypertension_women,WomenHypertension_N,diabetes_women,WomenDiabetes_N,hb_f_anemia,Anemia_nonpreg_N,preg_anemia,Anemia_preg_N,take100_IFA_preg,ifa_180,iycf_earlybf35,iycf_exclbf0,n_iycf_introfood,n_iycf_minaccdiet0,school10yr_women,wo2024_mar18,wom_pregmothers_1519,imp_latrine,imp_drinkw,hh_healthins,iod_salt,mcp_rec,anc_firsttri,anc4,protect_tetanus,IFA_rec,deworm_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,full_immun1,chvitA_6m1,ch_ors,ch_zinc,ari_treat
1,Arunachal Pradesh,12,East Siang,251,1072,34154.5174,2254,2196,6630.751671,2147,24.62,1632,8.55,567,4.2,278,10.27,681,9.02,598,51.51,3068,6630.751671,6.79,2319,27.87,9519,29.69,10140,9.45,3228,35.28,12050,32.78,739,11.41,6.59,49.37,,,23.95,55.56,14.91,4.59,83.89,97.27,30.5,99.38,94.42,39.87,34.26,75.22,,,90.84,,89.23,55.71,58.75,48.81,67.27,,,58
2,Arunachal Pradesh,12,Kra Daadi,650,822,,206,82,,34,28.8,,9.38,,5.69,,14.54,,20.17,,61.95,,,1.97,,29.82,,19.41,,4.06,,24.29,,1.97,4,12.65,9.03,35.88,,,14.56,27.4,24.84,12.86,89.26,99.84,23.97,99.16,97.69,62.45,18.27,55.06,,,73.54,,80.95,34.9,37.33,63.58,88.14,,,
3,Assam,18,Biswanath,665,,,,,,,42.72,,27.1,,13.73,,40.99,,3.29,,79.84,,,22.03,,10.57,,23.49,,8.14,,65.07,,45.11,,63.74,21.36,62.66,67.95,,14.47,23.01,25.26,8.99,76.62,76.19,68.35,97.98,99.27,41.21,46.49,94.62,96.4,16.3,84.25,53.5,84.56,56.51,58.11,66.2,61.39,,,49.09
4,Assam,18,Charaideo,666,,,,,,,38.95,,23.54,,7.25,,34.75,,3.96,,69.66,,,24.7,,10.3,,18.19,,11.94,,72.59,,61.56,,51.74,19.38,58.25,,,9.9,26.16,22.59,3.83,75.93,96.4,64.9,99.66,98.71,74.05,64.53,95.91,94.3,9.4,88.21,53.8,90.47,70.49,72.78,73.97,57.97,68.55,11.75,58.72
5,Chhattisgarh,22,Balod,675,920,,13254,9844,,9936,33.56,,15.14,,8.04,,35.95,,7.7,,68.29,,,18.83,,12.16,,25.06,,8.1,,56.57,,48.61,6443,46.92,24.21,22.41,,,2.87,46.25,3.26,0,83.76,99.49,79.52,96.73,99.42,72.73,81.46,93.68,,,97.35,,99.15,90.84,89.06,85.21,90.32,,,
6,Chhattisgarh,22,Baloda Bazar,676,971,,30694,23354,,23284,40.85,,19.36,,9.41,,34.11,,7.32,,67.77,,,19.44,,14.71,,22.63,,7.1,,61.46,,56.15,17235,21.62,12.56,35.44,73.27,,11.5,38.71,11.4,2.68,78.85,94.79,66.05,97.86,98.57,59.28,49.47,86.52,,,78.14,,86.17,72.64,69.71,77.32,77.13,,,70.28
